chosen_core,link_success_prob,sim_time,fidelity,seed,elapsed_time
"(1, 3)",0.01,159.000000000022,0.9999999999999998,77,0.004731375
"(2, 4)",0.01,157.00000000002402,0.9999999999999998,78,0.005144167
"(1, 5)",0.01,262.000000000035,0.9999999999999998,79,0.004810291
"(2, 5)",0.01,102.000000000017,0.9999999999999998,80,0.005236709
"(1, 4)",0.01,99.000000000015,0.9999999999999998,81,0.005219042
"(3, 5)",0.01,145.000000000007,0.9999999999999998,82,0.004380375
"(1, 3)",0.01,296.00000000004,0.9999999999999998,83,0.005043417
"(1, 4)",0.01,157.000000000019,0.9999999999999998,84,0.005067375
"(2, 3)",0.01,284.00000000004604,0.9999999999999998,85,0.010067875
"(2, 3)",0.01,182.000000000003,0.9999999999999998,86,0.0054795
"(2, 4)",0.01,130.000000000017,0.9999999999999998,87,0.004948125
